Column1,ID,Pin-code,age,Fam members,Education,T.Experience,Income,Mortgage,Fixed Deposit,Demat,Net Banking,Loan
0,10001,110001,23,4,Under Graduate,1,392000,0,0,1,0,0
1,10002,110014,43,3,Under Graduate,19,272000,0,0,1,0,0
2,10003,110014,37,1,Under Graduate,15,88000,0,0,0,0,0
3,10004,110003,33,1,Graduate,9,800000,0,0,0,0,0
4,10005,110004,33,4,Graduate,8,360000,0,0,0,0,0
5,10006,110004,35,4,Graduate,13,232000,1240000,0,0,1,0
6,10007,110001,51,2,Graduate,27,576000,0,0,0,1,0
7,10008,110004,48,1,Post Graduate,24,176000,0,0,0,0,0
8,10009,110011,33,3,Graduate,10,648000,832000,0,0,1,0
9,100010,110001,32,1,Post Graduate,9,1440000,0,0,0,0,1
10,100011,110003,63,4,Post Graduate,39,840000,0,0,0,0,0
11,100012,110004,27,3,Graduate,5,360000,0,0,0,1,0
12,100013,110014,46,2,Post Graduate,23,912000,0,0,1,0,0
13,100014,110004,57,4,Graduate,32,320000,0,0,0,1,0
14,100015,110001,65,1,Under Graduate,41,896000,0,0,1,0,0
15,100016,110004,58,1,Post Graduate,30,176000,0,0,0,1,0
16,100017,110003,36,4,Post Graduate,14,1040000,1072000,0,0,0,1
17,100018,110001,40,4,Under Graduate,18,648000,0,0,0,0,0
18,100019,110003,44,2,Post Graduate,21,1544000,0,0,0,0,1
19,100020,110004,53,1,Graduate,28,168000,0,0,1,0,0
20,100021,110004,54,4,Graduate,31,200000,888000,0,0,1,0
21,100022,110003,55,3,Post Graduate,27,504000,0,0,0,1,0
22,100023,110014,27,1,Under Graduate,5,496000,2080000,0,0,1,0
23,100024,110004,42,2,Under Graduate,18,344000,1304000,0,1,0,0
24,100025,110014,34,2,Under Graduate,11,1216000,1272000,0,0,0,0
25,100026,110003,41,3,Under Graduate,19,232000,776000,0,0,1,0
26,100027,110004,38,4,Post Graduate,16,664000,0,0,0,0,0
27,100028,110014,44,1,Under Graduate,20,1264000,0,0,0,1,0
28,100029,110011,54,1,Post Graduate,30,384000,0,0,0,1,0
29,100030,110003,36,1,Graduate,13,952000,0,1,0,1,1
30,100031,110014,57,1,Post Graduate,35,280000,976000,0,0,1,0
31,100032,110014,38,1,Graduate,16,232000,0,0,0,1,0
32,100033,110014,51,2,Post Graduate,28,328000,1544000,0,0,0,0
33,100034,110003,28,3,Post Graduate,6,144000,0,0,0,0,0
34,100035,110014,29,4,Post Graduate,5,400000,0,0,0,1,0
35,100036,110014,46,3,Under Graduate,24,648000,0,0,0,0,0
36,100037,110014,57,1,Under Graduate,35,968000,0,0,0,0,0
37,100038,110014,49,1,Post Graduate,25,568000,1584000,0,0,0,0
38,100039,110014,40,3,Post Graduate,18,1128000,0,1,1,1,1
39,100040,110011,36,4,Post Graduate,13,640000,2280000,0,0,1,0
40,100041,110011,55,3,Post Graduate,32,672000,0,0,1,0,0
41,100042,110004,32,3,Under Graduate,9,480000,0,0,0,0,0
42,100043,110004,30,4,Graduate,7,1056000,3296000,0,0,1,1
43,100044,110014,37,1,Under Graduate,15,360000,0,0,0,1,0
44,100045,110014,44,1,Under Graduate,20,832000,0,0,0,1,0
45,100046,110003,55,4,Under Graduate,31,416000,0,0,0,0,0
46,100047,110003,37,3,Graduate,14,344000,1224000,0,0,1,0
47,100048,110011,35,4,Post Graduate,12,1552000,1688000,1,1,1,1
48,100049,110001,54,2,Post Graduate,26,648000,0,0,0,0,0
49,100050,110014,38,1,Under Graduate,16,392000,0,0,0,0,0
50,100051,110004,30,4,Graduate,8,64000,0,0,1,1,0
51,100052,110011,59,1,Under Graduate,37,1048000,0,0,0,1,0
52,100053,110014,28,1,Under Graduate,6,576000,1656000,0,0,0,0
53,100054,110011,48,3,Post Graduate,26,1520000,1920000,0,0,1,1
54,100055,110001,27,1,Post Graduate,5,352000,0,0,0,1,0
55,100056,110003,39,2,Under Graduate,17,1112000,0,0,0,1,0
56,100057,110014,53,3,Graduate,30,232000,0,1,1,1,0
57,100058,110003,54,2,Post Graduate,31,1048000,0,0,0,0,1
58,100059,110004,26,2,Under Graduate,2,744000,0,0,0,0,0
59,100060,110011,29,2,Under Graduate,5,1504000,3640000,0,0,0,0
60,100061,110004,47,3,Graduate,24,312000,0,0,1,1,0
61,100062,110001,45,1,Under Graduate,21,1000000,896000,0,1,0,0
62,100063,110011,40,1,Under Graduate,18,176000,0,0,0,0,0
63,100064,110004,40,4,Graduate,17,256000,0,0,0,1,0
64,100065,110011,45,2,Under Graduate,23,840000,0,0,0,0,0
65,100066,110011,57,1,Under Graduate,35,1048000,0,0,0,1,0
66,100067,110001,60,2,Under Graduate,36,840000,2688000,0,0,0,0
67,100068,110003,51,4,Post Graduate,23,360000,1056000,0,1,0,0
68,100069,110011,45,3,Under Graduate,21,480000,0,0,0,1,0
69,100070,110011,51,4,Under Graduate,29,160000,0,0,0,1,0
70,100071,110014,40,1,Under Graduate,18,920000,0,0,0,0,0
71,100072,110014,51,4,Graduate,29,552000,0,0,0,1,0
72,100073,110014,42,1,Under Graduate,20,1040000,0,0,0,0,0
73,100074,110004,39,1,Post Graduate,16,680000,0,0,0,1,0
74,100075,110003,26,2,Under Graduate,3,1080000,0,0,0,0,0
75,100076,110001,29,4,Graduate,7,1080000,0,1,0,1,1
76,100077,110014,56,3,Post Graduate,32,96000,0,0,0,0,0
77,100078,110001,44,3,Graduate,20,232000,0,0,0,0,0
78,100079,110004,52,2,Post Graduate,30,1064000,0,0,0,0,1
79,100080,110004,48,2,Under Graduate,26,152000,944000,0,0,1,0
80,100081,110011,58,4,Under Graduate,36,328000,1392000,0,0,1,0
81,100082,110011,45,3,Graduate,22,320000,0,0,0,1,0
82,100083,110014,39,1,Post Graduate,16,656000,0,0,0,1,0
83,100084,110001,31,1,Graduate,9,400000,0,0,0,0,0
84,100085,110004,44,1,Post Graduate,22,144000,0,0,0,1,0
85,100086,110011,25,4,Post Graduate,2,872000,0,0,0,0,0
86,100087,110014,38,4,Graduate,16,336000,1008000,0,0,0,0
87,100088,110003,46,3,Under Graduate,22,624000,0,0,0,1,0
88,100089,110003,63,2,Under Graduate,41,408000,0,0,0,1,0
89,100090,110014,23,4,Post Graduate,-1,904000,0,0,0,0,0
90,100091,110004,53,4,Graduate,30,944000,0,0,0,1,1
91,100092,110004,33,4,Post Graduate,10,232000,0,0,0,1,0
92,100093,110014,41,3,Graduate,19,272000,0,0,0,0,0
93,100094,110011,58,2,Post Graduate,34,512000,1888000,0,1,1,0
94,100095,110004,63,1,Under Graduate,39,968000,0,0,0,0,0
95,100096,110004,36,4,Post Graduate,12,384000,0,0,0,1,0
96,100097,110001,39,1,Under Graduate,15,640000,0,0,0,0,0
97,100098,110014,52,1,Under Graduate,28,1288000,0,0,0,1,0
98,100099,110004,47,1,Under Graduate,23,752000,0,0,0,1,0
99,1000100,110003,64,3,Post Graduate,41,120000,0,0,0,1,0
100,1000101,110014,46,1,Under Graduate,23,592000,0,0,0,1,0
101,1000102,110014,59,3,Graduate,36,240000,0,0,0,0,0
102,1000103,110003,51,3,Post Graduate,23,352000,1584000,0,0,1,0
103,1000104,110001,41,2,Graduate,18,176000,0,0,0,1,0
104,1000105,110004,54,4,Under Graduate,32,304000,1328000,0,0,1,0
105,1000106,110014,22,3,Graduate,0,280000,0,0,1,1,0
106,1000107,110014,41,4,Under Graduate,17,552000,0,0,0,1,0
107,1000108,110014,40,1,Under Graduate,18,344000,1088000,0,0,0,0
108,1000109,110011,31,1,Post Graduate,7,256000,1328000,0,0,1,0
109,1000110,110001,41,1,Under Graduate,17,392000,0,0,0,1,0
110,1000111,110014,39,3,Graduate,14,72000,0,0,0,0,0
111,1000112,110004,60,4,Graduate,38,360000,0,0,0,1,0
112,1000113,110011,38,3,Under Graduate,15,656000,2472000,0,0,0,0
113,1000114,110001,56,2,Under Graduate,34,736000,824000,0,0,0,0
114,1000115,110001,37,3,Post Graduate,14,312000,0,0,0,1,0
115,1000116,110011,63,3,Graduate,40,648000,0,0,0,1,0
116,1000117,110011,52,1,Graduate,29,280000,0,0,0,1,0
117,1000118,110001,56,2,Post Graduate,33,488000,1544000,0,0,1,0
118,1000119,110014,39,3,Under Graduate,16,584000,0,0,0,1,0
119,1000120,110003,30,1,Under Graduate,7,896000,2928000,0,0,0,0
120,1000121,110004,52,2,Post Graduate,29,96000,0,0,0,1,0
121,1000122,110004,50,3,Post Graduate,26,304000,0,0,0,1,0
122,1000123,110014,56,2,Graduate,32,584000,0,0,0,1,0
123,1000124,110003,35,1,Graduate,13,672000,0,0,1,0,0
124,1000125,110011,37,4,Under Graduate,15,624000,944000,0,0,1,0
125,1000126,110001,58,3,Under Graduate,35,640000,0,0,0,1,0
126,1000127,110001,29,2,Under Graduate,5,920000,808000,0,0,1,0
127,1000128,110003,32,1,Graduate,8,656000,2008000,0,0,1,0
128,1000129,110004,36,2,Under Graduate,14,592000,0,0,1,1,0
129,1000130,110004,39,3,Post Graduate,16,560000,0,0,0,0,0
130,1000131,110011,26,3,Under Graduate,4,648000,2208000,0,0,1,0
131,1000132,110004,56,4,Graduate,34,1192000,0,1,0,1,1
132,1000133,110011,29,2,Post Graduate,1,408000,0,0,0,0,0
133,1000134,110003,28,3,Graduate,4,312000,0,0,0,1,0
134,1000135,110004,51,3,Graduate,29,784000,0,0,0,0,0
135,1000136,110003,56,4,Under Graduate,33,360000,0,0,0,1,0
136,1000137,110011,57,4,Graduate,32,392000,0,0,0,1,0
137,1000138,110014,47,2,Under Graduate,25,1024000,0,0,0,0,0
138,1000139,110001,57,3,Under Graduate,34,336000,0,1,1,0,0
139,1000140,110004,57,1,Post Graduate,35,144000,0,0,0,1,0
140,1000141,110014,49,2,Post Graduate,25,248000,1288000,0,0,1,0
141,1000142,110003,33,3,Under Graduate,11,464000,1192000,0,0,1,0
142,1000143,110014,31,1,Post Graduate,9,384000,0,0,0,0,0
143,1000144,110001,23,4,Under Graduate,1,432000,0,0,0,1,0
144,1000145,110004,47,2,Graduate,23,560000,0,0,0,0,0
145,1000146,110003,57,1,Under Graduate,35,992000,0,0,0,0,0
146,1000147,110014,44,1,Graduate,19,672000,0,0,0,1,0
147,1000148,110003,48,4,Post Graduate,25,664000,1504000,0,0,1,0
148,1000149,110014,50,2,Under Graduate,28,1304000,928000,0,0,1,0
149,1000150,110014,46,3,Graduate,22,336000,0,0,0,0,0
150,1000151,110004,44,2,Under Graduate,22,944000,0,1,0,1,0
151,1000152,110011,24,3,Post Graduate,0,1056000,0,0,0,0,1
152,1000153,110014,55,1,Under Graduate,32,192000,0,0,0,1,0
153,1000154,110003,58,2,Under Graduate,36,176000,0,1,1,1,0
154,1000155,110011,52,4,Post Graduate,29,464000,0,0,0,0,0
155,1000156,110004,22,4,Under Graduate,0,480000,0,0,0,1,0
156,1000157,110004,24,4,Under Graduate,0,120000,0,0,0,0,0
157,1000158,110004,39,4,Under Graduate,17,664000,0,0,0,1,0
158,1000159,110001,30,2,Post Graduate,6,632000,0,0,0,1,0
159,1000160,110003,59,4,Graduate,35,328000,0,0,1,1,0
160,1000161,110014,27,4,Post Graduate,0,1072000,0,0,0,0,1
161,1000162,110011,59,2,Under Graduate,35,640000,0,0,0,1,0
162,1000163,110003,36,1,Under Graduate,12,416000,0,0,0,0,0
163,1000164,110003,26,4,Under Graduate,4,560000,0,0,0,1,0
164,1000165,110014,51,2,Under Graduate,27,736000,0,0,1,0,0
165,1000166,110014,25,1,Under Graduate,1,344000,0,0,0,1,0
166,1000167,110001,23,3,Graduate,1,168000,0,0,0,0,0
167,1000168,110014,31,3,Post Graduate,9,184000,0,0,0,1,0
168,1000169,110004,48,4,Under Graduate,26,104000,0,0,0,1,0
169,1000170,110003,25,4,Post Graduate,1,896000,0,0,0,0,0
170,1000171,110001,25,2,Under Graduate,1,1104000,0,0,0,1,0
171,1000172,110014,50,3,Under Graduate,28,88000,0,0,1,0,0
172,1000173,110001,36,2,Under Graduate,13,1368000,0,0,0,1,0
173,1000174,110014,56,4,Under Graduate,34,336000,0,0,0,1,0
174,1000175,110001,40,2,Graduate,17,1344000,0,0,0,1,1
